supplier_id,product_id,supplier_name,product_name,supplier_score,supplier_rating_score,moq_score,supplier_response_rate_score,order_volume_score,classification
1007,507,Elite Manufacturing,Gaming Mouse,0.867433187965374,1.0,0.5581106265512472,1.0,1.0,Excelent
1001,501,Alpha Manufacturing,Wireless Earbuds,0.815996024059177,0.9800000000000001,0.4170323914242463,0.99,0.9944315331595157,Qualified
1011,511,Premium Tech Parts,USB-C Hub,0.7722552386716941,0.96,0.30692767643013485,0.97,0.9908846787132687,Qualified
1003,503,FastTrade Co,Portable Blender,0.732207272619442,0.8800000000000001,0.25433477814404226,0.98,0.9795341958811463,Qualified
1005,505,MegaExport Group,Smart Watch,0.7036138186701323,0.9400000000000001,0.1447438839476537,0.92,0.9709532674291802,Qualified
1006,506,QuickShip Factory,Travel Backpack,0.6743692327993633,0.82,0.21667906533553166,0.85,0.9668275659935196,Review
1009,509,BulkGoods China,Water Bottle,0.6630347233393579,0.86,0.10857244172444135,0.88,0.9823149541101275,Review
1010,510,Startup Supplier,Laptop Stand,0.662491798913272,0.7,0.36067376022224085,0.95,0.7714483542329993,Review
1008,508,Slow Response Inc,Yoga Mat,0.5937626717508329,0.78,0.29120667621996243,0.4,0.9620033444242208,Review
1004,504,NewGen Suppliers,LED Desk Lamp,0.5303591642430073,0.5599999999999999,0.3284587387530511,0.75,0.5691077130854598,Avoid
1002,502,Budget Source Ltd,Phone Case,0.5011975230326752,0.64,0.1174068144882187,0.6,0.7698773934310478,Avoid
1012,512,Risky Vendor,Power Bank,0.3509378189762279,0.42000000000000004,0.18856166434639035,0.3,0.5418465983615538,Avoid
