product_id,product_name,product_category,product_score,demand_strength,low_competition_score,expected_margin,logistics_simplicity,supplier_reliability,tiktok_virality,compliance_safety,classification,classification_reason
7,Reusable silicone mask cover,K-beauty accessories,0.677530282573371,0.460367688148372,0.666666666666667,0.627555402457228,0.798046054156802,0.97,0.917893412958184,0.7,Great product,Product has an excellent score
3,Makeup puff,K-beauty accessories,0.649742912306403,0.702816245403706,0.367763904653803,0.621101591187271,0.596781911613034,0.906550417851867,0.909325188407716,0.7,Great product,Product has an excellent score
13,Compact comb,Hair & scalp care tools,0.633758586241702,0.68188325985422,0.601097237987137,0.408899341486359,0.459710296945701,0.952,0.801174256888777,0.8,Great product,Product has an excellent score
4,Cosmetic spatula,K-beauty accessories,0.632135508097295,0.503490045327668,0.661899356791525,0.7575,0.400263367230663,0.780328195629644,0.693239691210425,0.7,Great product,Product has an excellent score
9,Blackhead remover tool kit,K-beauty accessories,0.629699387882923,0.626456024522128,0.661899356791525,0.554552425895886,0.391037143386831,0.783847280104077,0.773065828658178,0.7,Great product,Product has an excellent score
8,Ice face roller,K-beauty accessories,0.627631107491507,0.700719769857882,0.393567915247824,0.501359532660648,0.659381037003768,0.912069502326299,0.81320621512335,0.7,Great product,Product has an excellent score
6,Travel cosmetic bottle,K-beauty accessories,0.613442060459466,0.671587035487568,0.233333333333334,0.600337078651686,0.70740073834334,0.952,0.778711453562359,0.7,Great product,Product has an excellent score
16,Hair section clips,Hair & scalp care tools,0.60770143660345,0.66991898894351,0.516155883465759,0.523534777651083,0.514158728871672,0.551635024586007,0.857041817984363,0.8,Great product,Product has an excellent score
12,Hair towel,Hair & scalp care tools,0.598308942974106,0.626442712016277,0.355921301551268,0.56983498349835,0.456088555221282,0.952105973407422,0.75727555097243,0.8,Test,"Product has a promising score, ready for testing on small scale"
2,Silicone facial cleansing pad,K-beauty accessories,0.586867261194409,0.42495053993727,0.582822550132425,0.642805920366896,0.651689938643204,0.591333333333333,0.762016049125737,0.7,Test,"Product has a promising score, ready for testing on small scale"
5,Cosmetic organizer,K-beauty accessories,0.576751511079588,0.596570862829709,0.107529322739311,0.677790208711084,0.456711312595725,0.952,0.946737578225096,0.7,Test,"Product has a promising score, ready for testing on small scale"
15,Heatless hair curler,Hair & scalp care tools,0.572138034644639,0.650295840430925,0.563450624290579,0.575221932114883,0.270820984716229,0.20238142488589,0.945093222956036,0.8,Reject,Product has low supplier reliability score
1,Scalp massage brush,K-beauty accessories,0.56717059061009,0.659948307527189,0.202875520242149,0.479992147624656,0.55374838612943,0.896797512734008,0.855553902685882,0.7,Test,"Product has a promising score, ready for testing on small scale"
17,Portable detangling brush,Hair & scalp care tools,0.559483682842053,0.693706092245836,0.27097994702989,0.425808285946385,0.385415609588392,0.924832175696236,0.756747346568758,0.8,Test,"Product has a promising score, ready for testing on small scale"
14,Makeup Brush holder,Hair & scalp care tools,0.543985670151032,0.540130357001414,0.764547862277716,0.544634611311163,0.264524313148029,0.20238142488589,0.604260123795103,0.8,Reject,Product has low supplier reliability score
