product_id,product_name,product_category,product_score,demand_growth,low_competition_score,expected_margin,logistics_simplicity,supplier_reliability,tiktok_virality,compliance_safety,classification,classification_reason
9,Product_9,Fitness,0.5635527294868325,0.5,0.327325689738032,0.7749439944856109,0.2916888721249188,0.7035457766245501,0.9357532776715701,0.5,Investigate,"Product has a medium score, needs further investigation"
10,Product_10,Accessories,0.5623832750378464,0.803802797772647,0.7045662145241387,0.35529522761223375,0.28319830884040453,0.7069767074505875,0.2544278553831089,0.5,Investigate,"Product has a medium score, needs further investigation"
20,Product_20,Fashion,0.5395468608059454,0.7,0.03530961791831357,0.6357222428518381,0.6352010989863114,0.8576876670616965,0.5605161204711414,0.5,Investigate,"Product has a medium score, needs further investigation"
4,Product_4,Pets,0.5217074969677854,0.2,0.5952516861352766,0.7055321707757066,0.2534872067939612,0.7431211781367824,0.8688988709251431,0.5,Investigate,"Product has a medium score, needs further investigation"
7,Product_7,Kitchen,0.4819598851418422,0.5816416621773036,0.7160969932358432,0.10949200566686904,0.4338303496735786,0.7662217545271579,0.26426459396900137,0.5,Investigate,"Product has a medium score, needs further investigation"
19,Product_19,Electronics,0.478484841753373,0.5,0.5931652265453107,0.2880158066722395,0.6879237776000717,0.6861995972975954,0.2983629762009623,0.19999999999999996,Investigate,"Product has a medium score, needs further investigation"
13,Product_13,Accessories,0.47797005989541275,0.8530465949820789,0.5649970412943766,-0.2748288776959834,0.7184816410253478,0.7972858828784899,0.30098026039830517,0.5,Investigate,"Product has a medium score, needs further investigation"
16,Product_16,Electronics,0.4778500549778712,0.23068239127904722,0.6446185885176068,0.5759861700455761,0.3925219087426095,0.9214622199876824,0.3466009257244358,0.19999999999999996,Investigate,"Product has a medium score, needs further investigation"
3,Product_3,Home,0.4701610618302595,0.19936366657348842,0.5563628517345207,0.5795756718528996,0.5562309444794485,0.7933347010165037,0.33175875919808107,0.5,Investigate,"Product has a medium score, needs further investigation"
6,Product_6,Accessories,0.46758404428490363,0.3,0.34634575335837603,0.7137957542428006,0.013409501190907025,0.6336769305106758,0.9084709959450996,0.5,Investigate,"Product has a medium score, needs further investigation"
14,Product_14,Fitness,0.46427900595797955,0.15925925925925927,0.4517207897292049,0.813944976514366,0.574777904403579,0.5783992337022379,0.31013324083868815,0.5,Investigate,"Product has a medium score, needs further investigation"
18,Product_18,Electronics,0.4501030118820056,0.31184210526315786,0.379850070453156,0.4559081859702541,0.520862221119035,0.6973208134594501,0.7317253082368556,0.19999999999999996,Investigate,"Product has a medium score, needs further investigation"
11,Product_11,Pets,0.4446427621289112,0.3797202527529352,0.5805196206318226,0.26371369903197417,0.6017907344129182,0.6202456816842633,0.33662393398199897,0.5,Investigate,"Product has a medium score, needs further investigation"
2,Product_2,Electronics,0.43351257459840753,0.5,0.2174769596929485,0.5083089938563803,0.2781739881354875,0.6528967325771133,0.602483118172817,0.19999999999999996,Investigate,"Product has a medium score, needs further investigation"
17,Product_17,Kitchen,0.40633113755405936,0.5,0.11612903225806454,0.05397941250313835,0.571208221548782,0.9392228273544361,0.7126634371149695,0.5,Investigate,"Product has a medium score, needs further investigation"
5,Product_5,Fashion,0.39458404995978236,0.3652975938320766,0.13857465582570772,0.5109948226910872,0.5575814034575977,0.590828953332235,0.3350472011942095,0.5,Reject,Product has a low score
1,Product_1,Home,0.3145066009669266,1.0,0.42569725739431213,-1.006180175897314,0.44762940180513683,0.8561596621485021,0.2522427827216307,0.5,Reject,Product has a low score
15,Product_15,Kitchen,0.2848369545964737,0.0,0.4580645161290323,0.16297365571995678,0.3317658747916087,0.6776361878419181,0.3468911396332317,0.5,Reject,Product has a low score
8,Product_8,Electronics,0.11106724141229919,0.2,0.7767913246174116,-1.0845368087354705,0.20929300669424786,0.7282345567890083,0.18863581887585346,0.19999999999999996,Reject,Product has a low score
12,Product_12,Pets,-0.08637950673112027,0.7,0.8898249950143359,-3.2429596907785756,0.2896730267526578,0.600391931589537,0.9524093658750825,0.5,Reject,Product has a low score
