product_id,product_name,product_category,product_score,demand_strength,low_competition_score,expected_margin,logistics_simplicity,supplier_reliability,tiktok_virality,compliance_safety,classification,classification_reason
4,Product 4,Pets,0.627100429851484,0.5876826761531643,0.8421052631578947,0.424390243902439,0.6233997634177807,0.798121832353228,0.5972849982402517,0.5,Great product,Product has an excellent score
2,Product 2,Fitness,0.6146947251104404,0.6136493911896731,0.9473684210526316,0.34285714285714286,0.48159869847454123,0.7302737187448047,0.5705002280913267,0.5,Great product,Product has an excellent score
1,Product 1,Home,0.5991012010229443,0.4753906073524728,1.0,0.3395348837209302,0.6344601490486761,0.6886714527597362,0.550334122597987,0.5,Test,"Product has a promising score, ready for testing on small scale"
6,Product 6,Travel,0.5884757559543426,0.6326751054852321,0.736842105263158,0.40740740740740733,0.3250643985513306,0.823978951918053,0.6155274200198319,0.5,Test,"Product has a promising score, ready for testing on small scale"
5,Product 5,Office,0.5873631889665017,0.5279003919327732,0.7894736842105263,0.4147368421052631,0.4711077593687092,0.8172303610066519,0.6071217368261441,0.5,Test,"Product has a promising score, ready for testing on small scale"
3,Product 3,Kitchen,0.5772865113197023,0.5423886460285379,0.8947368421052632,0.34492753623188405,0.3357646499762913,0.7663721887137058,0.5854279027613867,0.5,Test,"Product has a promising score, ready for testing on small scale"
8,Product 8,Electronics,0.5601661478520076,0.6048547958396706,0.631578947368421,0.44477611940298506,0.4608612477209821,0.7465748738968822,0.6293782337602232,0.19999999999999996,Reject,Product has low compliance and safety score
9,Product 9,Home,0.5598309556210812,0.6339955009575771,0.5789473684210527,0.43673469387755115,0.3146723733767396,0.7820528542395027,0.6352314516034183,0.5,Test,"Product has a promising score, ready for testing on small scale"
12,Product 12,Pets,0.5468077699982368,0.5986636963319866,0.42105263157894735,0.4537634408602151,0.7844034429655908,0.8803344912480349,0.30704838006045004,0.5,Test,"Product has a promising score, ready for testing on small scale"
16,Product 16,Electronics,0.5282599139448692,0.5891689229225849,0.21052631578947367,0.4588235294117647,0.6223921311945452,0.8264128921204603,0.9221721184247467,0.19999999999999996,Reject,Product has low compliance and safety score
17,Product 17,Home,0.5181275988401582,0.5804767211525805,0.1578947368421053,0.4533864541832669,0.4704807584706227,0.861633584740102,0.9254074602586622,0.5,Test,"Product has a promising score, ready for testing on small scale"
18,Product 18,Fitness,0.5097094348223552,0.6363388853633564,0.10526315789473684,0.44848484848484854,0.32403794572452305,0.8962416384990695,0.9284715378323976,0.5,Test,"Product has a promising score, ready for testing on small scale"
7,Product 7,Gaming,0.5024174877295456,0.5585994949469126,0.6842105263157895,0.40165289256198355,0.1729802481337387,0.4101030203505772,0.6228660336883116,0.5,Test,"Product has a promising score, ready for testing on small scale"
13,Product 13,Office,0.49841279017639895,0.5042271858992992,0.368421052631579,0.44723618090452266,0.6325358965548888,0.8984941037773829,0.3112154696112662,0.5,Test,"Product has a promising score, ready for testing on small scale"
15,Product 15,Gaming,0.49424756533422326,0.6200194180953142,0.26315789473684215,0.4364444444444444,0.33420032120208765,0.4902768809671453,0.9187452275721407,0.5,Test,"Product has a promising score, ready for testing on small scale"
10,Product 10,Fitness,0.48095742551830795,0.5478673319030081,0.5263157894736843,0.43,0.16272141844810903,0.8168631867819607,0.29768974124812053,0.5,Test,"Product has a promising score, ready for testing on small scale"
14,Product 14,Travel,0.46140583531197465,0.5436701504381946,0.3157894736842105,0.4415094339622643,0.4805768077088632,0.6946056830278784,0.3151026709945686,0.5,Test,"Product has a promising score, ready for testing on small scale"
11,Product 11,Kitchen,0.46113040638709596,0.5608015367630631,0.4736842105263158,0.42427745664739885,0.01069804524153454,0.8501208943424251,0.3025579480319124,0.5,Test,"Product has a promising score, ready for testing on small scale"
20,Product 20,Pets,0.4470959676751222,0.617140086587777,0.0,0.46206896551724136,0.46040145662927123,0.9594177509632066,0.33415232165481884,0.5,Investigate,"Product has a medium score, needs further investigation"
19,Product 19,Kitchen,0.3978022742906917,0.5206716914240854,0.052631578947368474,0.44404332129963897,0.17227522551624017,0.9293369132318419,0.33138157510460603,0.5,Investigate,"Product has a medium score, needs further investigation"
